date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-05-31,KXMLBGAME-26MAY311340LAATB,Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays,1,1,-1.5,Tampa Bay Rays,3,8,0.655,0.345,yes
2026-05-31,KXMLBGAME-26MAY311335MINPIT,Pittsburgh Pirates,Minnesota Twins,Pittsburgh Pirates,Pittsburgh Pirates,1,1,-1.5,Pittsburgh Pirates,3,7.5,0.595,0.405,yes
2026-05-31,KXMLBGAME-26MAY311340BOSCLE,Cleveland Guardians,Boston Red Sox,Boston Red Sox,Boston Red Sox,1,-3,1.5,Boston Red Sox,5,7,0.485,0.515,yes
2026-05-31,KXMLBGAME-26MAY311340ATLCIN,Cincinnati Reds,Atlanta Braves,Atlanta Braves,Cincinnati Reds,0,-5,1.5,Atlanta Braves,7,8.5,0.545,0.46499999999999997,no
2026-05-31,KXMLBGAME-26MAY311215TORBAL,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,0,-1,-1.5,Baltimore Orioles,5,8,0.445,0.56,no
2026-05-30,KXMLBGAME-26MAY302210PHILAD,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers,Philadelphia Phillies,0,3,1.5,Philadelphia Phillies,7,8.5,0.545,0.46499999999999997,no
2026-05-30,KXMLBGAME-26MAY302205NYYATH,Oakland Athletics,New York Yankees,New York Yankees,Oakland Athletics,0,-1,1.5,New York Yankees,5,9.5,0.595,0.405,no
2026-05-30,KXMLBGAME-26MAY302210AZSEA,Seattle Mariners,Arizona Diamondbacks,Seattle Mariners,Seattle Mariners,1,2,-1.5,Seattle Mariners,6,7,0.575,0.425,yes
2026-05-30,KXMLBGAME-26MAY302110SFCOL,Colorado Rockies,San Francisco Giants,San Francisco Giants,Colorado Rockies,0,-1,1.5,San Francisco Giants,7,11,0.515,0.485,no
2026-05-30,KXMLBGAME-26MAY301915ATLCIN,Cincinnati Reds,Atlanta Braves,Atlanta Braves,Atlanta Braves,1,-1,1.5,Atlanta Braves,7,9.5,0.545,0.46499999999999997,yes
2026-05-30,KXMLBGAME-26MAY301915CHCSTL,St. Louis Cardinals,Chicago Cubs,Chicago Cubs,Chicago Cubs,1,-3,1.5,Chicago Cubs,5,8,0.545,0.455,yes
2026-05-30,KXMLBGAME-26MAY301610MILHOU,Houston Astros,Milwaukee Brewers,Houston Astros,Houston Astros,1,3,1.5,Milwaukee Brewers,7,9,0.485,0.515,yes
2026-05-30,KXMLBGAME-26MAY301610BOSCLE,Cleveland Guardians,Boston Red Sox,Cleveland Guardians,Boston Red Sox,0,2,-1.5,Cleveland Guardians,4,6.5,0.535,0.46499999999999997,no
2026-05-30,KXMLBGAME-26MAY301610LAATB,Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays,Los Angeles Angels,0,1,-1.5,Tampa Bay Rays,5,7,0.605,0.395,no
2026-05-30,KXMLBGAME-26MAY301610MIANYM,New York Mets,Miami Marlins,Miami Marlins,New York Mets,0,-2,-1.5,New York Mets,4,7,0.455,0.545,no
2026-05-30,KXMLBGAME-26MAY301605KCTEX,Texas Rangers,Kansas City Royals,Texas Rangers,Texas Rangers,1,3,1.5,Kansas City Royals,9,8,0.515,0.475,yes
2026-05-30,KXMLBGAME-26MAY301605TORBAL,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,0,-1,1.5,Toronto Blue Jays,3,7.5,0.535,0.46499999999999997,no
2026-05-30,KXMLBGAME-26MAY301605SDWSH,Washington Nationals,San Diego Padres,San Diego Padres,Washington Nationals,0,-4,1.5,San Diego Padres,6,7.5,0.545,0.46499999999999997,no
2026-05-30,KXMLBGAME-26MAY301605MINPIT,Pittsburgh Pirates,Minnesota Twins,Pittsburgh Pirates,Pittsburgh Pirates,1,4,-1.5,Pittsburgh Pirates,6,8.5,0.575,0.425,yes
2026-05-30,KXMLBGAME-26MAY301410DETCWS,Chicago White Sox,Detroit Tigers,Chicago White Sox,Chicago White Sox,1,5,1.5,Detroit Tigers,11,7.5,0.495,0.505,yes
2026-05-29,KXMLBGAME-26MAY292210AZSEA,Seattle Mariners,Arizona Diamondbacks,Seattle Mariners,Seattle Mariners,1,1,-1.5,Seattle Mariners,7,7,0.565,0.435,yes
